Número do Processo,Localização Atual,Foro,Vara,Controle,Classe,Assunto,Distribuição,reu_preso,Relatório Final,Denúncia,Defesa Prévia,Razões de Apelação,Contrarrazões de Apelação,Sigilo,e-SAJ
1504143-89.2025.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000818,Ação Penal - Procedimento Sumário,Ameaça,2025-06-18,False,2025-08-29,2025-09-02,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W2YT0000&processo.numero=1504143-89.2025.8.26.0451
1501298-28.2025.8.26.0599,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2025/000813,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-18,False,2025-07-10,2025-07-10,2025-07-14,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HJ60000&processo.numero=1501298-28.2025.8.26.0599
1501299-13.2025.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000739,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-18,True,2025-07-08,2025-07-10,2025-08-18,2025-11-12,2025-11-13,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HJ70000&processo.numero=1501299-13.2025.8.26.0599
1504015-69.2025.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2025/000795,Inquérito Policial,Lesão Cometida em Razão da Condição de Mulher,2025-06-17,False,2026-05-22,2026-05-28,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W2O20000&processo.numero=1504015-69.2025.8.26.0451
1504018-24.2025.8.26.0451,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000879,Ação Penal - Procedimento Ordinário,Maus Tratos,2025-06-17,False,2026-02-27,2026-03-02,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W2O90000&processo.numero=1504018-24.2025.8.26.0451
1504024-31.2025.8.26.0451,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000794,Ação Penal - Procedimento Ordinário,Decorrente de Violência Doméstica,2025-06-17,False,2026-01-22,2026-01-27,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W2ON0000&processo.numero=1504024-31.2025.8.26.0451
1504036-45.2025.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2025/000989,Ação Penal - Procedimento Ordinário,Contra a Mulher,2025-07-17,False,2025-11-29,2025-12-01,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W2PK0000&processo.numero=1504036-45.2025.8.26.0451
1504060-73.2025.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000729,Ação Penal - Procedimento Ordinário,Estupro de vulnerável,2025-06-17,False,2026-01-23,2026-01-23,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W2QR0000&processo.numero=1504060-73.2025.8.26.0451
1504071-05.2025.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000731,Ação Penal - Procedimento Sumário,Crime de Descumprimento de Medida Protetiva  de Urgência,2025-06-17,False,2026-05-04,2026-05-05,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W2RB0000&processo.numero=1504071-05.2025.8.26.0451
1501291-36.2025.8.26.0599,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000874,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2025-06-16,True,2025-06-23,2025-06-24,,2025-10-23,2025-10-28,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HIN0000&processo.numero=1501291-36.2025.8.26.0599
1501292-21.2025.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000785,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-16,True,2025-06-24,2025-06-25,2025-08-08,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HIQ0000&processo.numero=1501292-21.2025.8.26.0599
1501294-88.2025.8.26.0599,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000803,Ação Penal - Procedimento Sumário,Contravenções Penais,2025-06-17,False,2025-06-17,2025-06-24,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HIU0000&processo.numero=1501294-88.2025.8.26.0599
1503973-20.2025.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000460,Ação Penal - Procedimento Ordinário,Vias de fato,2026-04-14,False,,2026-02-23,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W2J90000&processo.numero=1503973-20.2025.8.26.0451
1501271-45.2025.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000779,Ação Penal - Procedimento Ordinário,Furto Qualificado,2025-06-16,False,2025-06-23,2025-06-24,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HHZ0000&processo.numero=1501271-45.2025.8.26.0599
1501272-30.2025.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000778,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-16,True,2025-06-24,2025-06-25,2025-08-08,2025-12-03,2025-12-03,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HI00000&processo.numero=1501272-30.2025.8.26.0599
1501278-37.2025.8.26.0599,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2025/000781,Ação Penal - Procedimento Ordinário,Leve,2025-06-16,True,2025-06-23,2025-06-24,,2025-12-24,2026-01-09,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HI70000&processo.numero=1501278-37.2025.8.26.0599
1501267-08.2025.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000866,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-16,True,2025-07-15,2025-07-18,,2025-12-02,2025-12-03,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HHU0000&processo.numero=1501267-08.2025.8.26.0599
1501256-76.2025.8.26.0599,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000771,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-12,False,2025-07-01,2025-07-02,2025-10-24,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HHD0000&processo.numero=1501256-76.2025.8.26.0599
1501259-31.2025.8.26.0599,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2025/000777,Ação Penal - Procedimento Ordinário,Roubo,2025-06-16,False,2025-06-18,2025-06-24,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HHH0000&processo.numero=1501259-31.2025.8.26.0599
1503924-76.2025.8.26.0451,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000772,Ação Penal - Procedimento Sumário,Crime de Descumprimento de Medida Protetiva  de Urgência,2025-06-12,False,2025-06-12,2025-06-17,2025-06-25,2025-09-26,2025-10-06,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W2C80000&processo.numero=1503924-76.2025.8.26.0451
1503927-31.2025.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2025/000765,Ação Penal - Procedimento Ordinário,Adulteração de Sinal Identificador de Veículo Automotor,2025-06-12,False,2026-03-25,2026-03-26,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W2CK0000&processo.numero=1503927-31.2025.8.26.0451
1503938-60.2025.8.26.0451,13º Promotor de Justiça de Piracicaba,Foro de Piracicaba,Vara do Juizado Especial Cível e Criminal,2025/001593,Ação Penal - Procedimento Sumaríssimo,Ameaça,2025-06-12,False,,2025-07-04,2025-10-07,2026-01-28,2026-03-25,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W2DQ0000&processo.numero=1503938-60.2025.8.26.0451
1501247-17.2025.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000702,Ação Penal - Procedimento Ordinário,Adulteração de Sinal Identificador de Veículo Automotor,2025-06-12,False,2025-07-01,2025-07-02,2025-07-23,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HGX0000&processo.numero=1501247-17.2025.8.26.0599
1501250-69.2025.8.26.0599,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000770,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-12,True,2025-07-01,2025-07-02,2025-07-22,2025-10-03,2025-10-09,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HH60000&processo.numero=1501250-69.2025.8.26.0599
1501251-54.2025.8.26.0599,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000755,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-23,True,2025-07-08,2025-07-10,2025-11-05,2026-05-20,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HH70000&processo.numero=1501251-54.2025.8.26.0599
1501252-39.2025.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000703,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-12,False,2025-07-08,2025-07-14,2025-08-28,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HH80000&processo.numero=1501252-39.2025.8.26.0599
1501253-24.2025.8.26.0599,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000854,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-12,False,2025-06-30,2025-07-03,2025-07-17,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HH90000&processo.numero=1501253-24.2025.8.26.0599
1503866-73.2025.8.26.0451,13º Promotor de Justiça de Piracicaba,Foro de Piracicaba,Vara do Juizado Especial Cível e Criminal,2025/001906,Inquérito Policial,Leve,2025-09-09,False,,2025-10-28,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W26H0000&processo.numero=1503866-73.2025.8.26.0451
1503869-28.2025.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000691,Ação Penal - Procedimento Ordinário,Leve,2025-06-11,False,2025-06-26,2025-06-27,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W26M0000&processo.numero=1503869-28.2025.8.26.0451
1503893-56.2025.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2025/000757,Ação Penal - Procedimento Ordinário,Contra a Mulher,2025-06-11,False,2026-01-22,2026-01-25,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W27V0000&processo.numero=1503893-56.2025.8.26.0451
1503911-77.2025.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000698,Inquérito Policial,Estelionato,2025-06-11,False,2026-05-19,2026-05-22,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W2AX0000&processo.numero=1503911-77.2025.8.26.0451
1501238-55.2025.8.26.0599,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2025/000753,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-10,False,2025-06-11,2025-06-12,2025-08-12,2025-10-27,2026-03-06,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HGO0000&processo.numero=1501238-55.2025.8.26.0599
1501239-40.2025.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000847,Ação Penal - Procedimento Ordinário,Furto Qualificado,2025-06-12,False,2025-06-11,2025-06-17,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HGP0000&processo.numero=1501239-40.2025.8.26.0599
1501241-10.2025.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000766,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-12,True,2025-06-30,2025-06-30,2025-08-08,2025-11-27,2025-11-28,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HGR0000&processo.numero=1501241-10.2025.8.26.0599
1501243-77.2025.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000765,Ação Penal - Procedimento Ordinário,Furto,2025-06-12,True,2025-06-18,2025-06-23,,2025-11-27,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HGT0000&processo.numero=1501243-77.2025.8.26.0599
1501244-62.2025.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000701,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-12,False,2025-06-17,2025-06-18,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HGU0000&processo.numero=1501244-62.2025.8.26.0599
1501245-47.2025.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000848,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-12,False,2025-07-08,2025-07-15,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HGV0000&processo.numero=1501245-47.2025.8.26.0599
1503864-06.2025.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000690,Ação Penal - Procedimento Ordinário,Furto,2025-06-10,False,,2026-02-18,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W25D0000&processo.numero=1503864-06.2025.8.26.0451
1503865-88.2025.8.26.0451,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000755,Ação Penal - Procedimento Ordinário,Roubo,2025-06-10,False,2025-08-08,2025-11-14,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W25N0000&processo.numero=1503865-88.2025.8.26.0451
1501226-41.2025.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000689,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-10,True,2025-06-11,2025-06-12,2025-08-20,2025-11-19,2025-11-24,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HG20000&processo.numero=1501226-41.2025.8.26.0599
1501227-26.2025.8.26.0599,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000830,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-10,True,2025-06-12,2025-06-16,2025-09-04,2025-11-18,2025-11-19,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HG30000&processo.numero=1501227-26.2025.8.26.0599
1501230-78.2025.8.26.0599,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000754,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-10,False,2025-06-25,2025-06-27,2025-12-02,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HG80000&processo.numero=1501230-78.2025.8.26.0599
1501216-94.2025.8.26.0599,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000733,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-09,True,2025-06-25,2025-06-26,,2026-02-19,2026-02-20,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HFQ0000&processo.numero=1501216-94.2025.8.26.0599
1501221-19.2025.8.26.0599,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000824,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-09,False,2025-06-17,2025-06-18,2026-02-27,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HFW0000&processo.numero=1501221-19.2025.8.26.0599
1501222-04.2025.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000683,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-09,True,2025-06-11,2025-06-11,2025-07-19,2025-10-08,2025-10-09,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HFX0000&processo.numero=1501222-04.2025.8.26.0599
1503795-71.2025.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000728,Ação Penal - Procedimento Ordinário,Desacato,2025-06-17,False,,2025-08-21,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W1WV0000&processo.numero=1503795-71.2025.8.26.0451
1501206-50.2025.8.26.0599,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000734,Ação Penal - Procedimento Ordinário,Furto Qualificado,2025-06-09,True,2025-06-11,2025-06-12,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HFB0000&processo.numero=1501206-50.2025.8.26.0599
1501210-87.2025.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000735,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-09,True,2025-07-01,2025-07-02,2025-08-04,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HFK0000&processo.numero=1501210-87.2025.8.26.0599
1501214-27.2025.8.26.0599,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000740,Ação Penal - Procedimento Sumário,Decorrente de Violência Doméstica,2025-06-09,False,2025-06-16,2025-06-24,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HFO0000&processo.numero=1501214-27.2025.8.26.0599
1501189-14.2025.8.26.0599,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000814,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2025-06-06,False,2025-06-10,2025-06-11,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HEO0000&processo.numero=1501189-14.2025.8.26.0599
1501198-73.2025.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000817,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-09,False,2025-06-17,2025-06-23,2025-08-07,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HF20000&processo.numero=1501198-73.2025.8.26.0599
1501201-28.2025.8.26.0599,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2025/000741,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-09,True,2025-06-30,2025-07-01,,2025-12-26,2026-01-07,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HF50000&processo.numero=1501201-28.2025.8.26.0599
1503758-44.2025.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000720,Ação Penal - Procedimento Ordinário,Crimes de Trânsito,2025-06-17,False,,2025-06-23,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W1S10000&processo.numero=1503758-44.2025.8.26.0451
1501184-89.2025.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000672,Ação Penal - Procedimento Ordinário,Furto,2025-06-06,False,2025-06-11,2025-06-16,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HEJ0000&processo.numero=1501184-89.2025.8.26.0599
1501187-44.2025.8.26.0599,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000813,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-06,False,2025-07-01,2025-07-03,2025-07-28,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HEM0000&processo.numero=1501187-44.2025.8.26.0599
1503728-09.2025.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000665,Ação Penal - Procedimento Ordinário,Adulteração de Sinal Identificador de Veículo Automotor,2025-06-05,False,2026-02-05,2026-03-06,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W1MC0000&processo.numero=1503728-09.2025.8.26.0451
1503733-31.2025.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2025/000727,Ação Penal - Procedimento Ordinário,Injúria,2025-06-05,False,2025-12-02,2025-12-03,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000W1OI0000&processo.numero=1503733-31.2025.8.26.0451
1501171-90.2025.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000662,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-04,False,2025-06-25,2025-06-25,2025-07-01,,2025-11-12,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HDW0000&processo.numero=1501171-90.2025.8.26.0599
1501173-60.2025.8.26.0599,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2025/000721,Ação Penal - Procedimento Ordinário,Furto Qualificado,2025-06-04,False,2025-06-11,2025-11-11,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HDY0000&processo.numero=1501173-60.2025.8.26.0599
1501176-15.2025.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000726,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-05,True,2025-06-09,2025-06-10,2025-08-08,2026-02-23,2026-02-23,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HE90000&processo.numero=1501176-15.2025.8.26.0599
1501162-31.2025.8.26.0599,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2025/000715,Ação Penal - Procedimento Ordinário,Roubo,2025-06-03,True,2025-06-05,2025-06-06,,2025-11-04,2025-11-05,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HDF0000&processo.numero=1501162-31.2025.8.26.0599
1501164-98.2025.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000715,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-03,True,2025-06-25,2025-06-25,,2025-08-07,2025-08-13,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HDH0000&processo.numero=1501164-98.2025.8.26.0599
1501166-68.2025.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000661,Ação Penal - Procedimento Ordinário,Roubo,2025-06-04,True,2025-06-09,2025-06-09,,2025-09-19,2025-09-22,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HDQ0000&processo.numero=1501166-68.2025.8.26.0599
1501167-53.2025.8.26.0599,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000720,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-04,False,2025-07-01,2025-07-03,2025-08-14,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HDT0000&processo.numero=1501167-53.2025.8.26.0599
1501154-54.2025.8.26.0599,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000714,Ação Penal - Procedimento Sumário,Crime de Descumprimento de Medida Protetiva  de Urgência,2025-06-03,False,2025-06-05,2025-06-05,2025-06-23,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HD50000&processo.numero=1501154-54.2025.8.26.0599
1501155-39.2025.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000797,Ação Penal - Procedimento Ordinário,Adulteração de Sinal Identificador de Veículo Automotor,2025-06-03,False,2025-06-09,2025-06-12,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HD60000&processo.numero=1501155-39.2025.8.26.0599
1501156-24.2025.8.26.0599,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2025/000713,Ação Penal - Procedimento Sumário,Tráfico de Drogas e Condutas Afins,2025-06-03,True,2025-06-23,2025-06-26,2025-08-08,2026-01-20,2026-01-21,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HD70000&processo.numero=1501156-24.2025.8.26.0599
1501150-17.2025.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000649,Ação Penal - Procedimento Sumário,Vias de fato,2025-06-02,False,2025-06-16,2025-06-16,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HCX0000&processo.numero=1501150-17.2025.8.26.0599
1501152-84.2025.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2025/000651,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2025-06-02,True,2025-06-09,2025-06-10,2025-07-19,2025-10-09,2025-10-10,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HD20000&processo.numero=1501152-84.2025.8.26.0599
1501137-18.2025.8.26.0599,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2025/000784,Ação Penal - Procedimento Ordinário,Crimes do Sistema Nacional de Armas,2025-06-02,False,2025-06-09,2025-06-11,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004HCG0000&processo.numero=1501137-18.2025.8.26.0599
