Número do Processo,Localização Atual,Foro,Vara,Controle,Classe,Assunto,Distribuição,reu_preso,Relatório Final,Denúncia,Defesa Prévia,Razões de Apelação,Contrarrazões de Apelação,Sigilo,e-SAJ
1500323-69.2026.8.26.0599,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000203,Ação Penal - Procedimento Sumário,Vias de fato,2026-02-18,False,2026-02-20,2026-02-20,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JSW0000&processo.numero=1500323-69.2026.8.26.0599
1500324-54.2026.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000375,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-30,False,2026-03-11,2026-03-11,2026-05-14,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JSX0000&processo.numero=1500324-54.2026.8.26.0599
1500328-91.2026.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000177,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2026-02-18,False,2026-02-20,2026-03-01,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JT10000&processo.numero=1500328-91.2026.8.26.0599
1500330-61.2026.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000349,Ação Penal - Procedimento Ordinário,Furto Qualificado,2026-03-27,False,2026-03-04,2026-03-06,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JT30000&processo.numero=1500330-61.2026.8.26.0599
1500309-85.2026.8.26.0599,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000414,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-04-01,True,2026-03-13,2026-03-16,2026-05-07,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JSI0000&processo.numero=1500309-85.2026.8.26.0599
1500317-62.2026.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000178,Ação Penal - Procedimento Sumário,Ameaça,2026-02-18,False,2026-02-20,2026-02-24,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JSQ0000&processo.numero=1500317-62.2026.8.26.0599
1500318-47.2026.8.26.0599,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000386,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-03-27,False,2026-03-05,2026-03-09,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JSR0000&processo.numero=1500318-47.2026.8.26.0599
1500609-06.2026.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000182,Ação Penal - Procedimento Ordinário,Ameaça,2026-02-13,False,2026-02-20,2026-02-20,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XO0D0000&processo.numero=1500609-06.2026.8.26.0451
1500615-13.2026.8.26.0451,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000419,Procedimento Especial da Lei Antitóxicos,Posse de Drogas para Consumo Pessoal,2026-04-11,False,,2026-04-09,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XO2A0000&processo.numero=1500615-13.2026.8.26.0451
1502274-72.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000337,Ação Penal - Procedimento Ordinário,Roubo,2026-03-20,False,2026-02-26,2026-02-27,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003LI0000&processo.numero=1502274-72.2026.8.26.0446
